,Time(min),Bulk Density,X Extruder Load,X Extruder RPM,X Extruder Water,X Temp Zone 3,Temp Zone 5,Die Temp,SME-Watt,Score,Score_unsup,Score_semi,ts,group,feed_comp_num,Time-ts,Time(min)-group-all,split,Die Temp_gbm,SME-Watt_gbm,Score_gbm
0,1,286.0,32.354166416666665,350.90428851666667,21.9877484,81.86513841666667,109.8874391,151.21552473333335,756.109332,7.5,5.801706422487123,7.1440555,909,FBC + Gluten + SPC,3,89,23,test,151.21552473333335,756.109332,7.5
1,2,286.0,32.275946266666665,350.7725673833334,21.7093595,81.95657938333333,109.37713645,148.73300835,749.5227204,8.0,5.178384660081348,7.693758,909,FBC + Gluten + SPC,3,90,24,test,152.1422595833006,761.8385549467391,6.338110188046825
2,3,286.0,32.51568545,350.8381082166667,20.79633185,80.05602784999999,108.26877228333332,148.90916993333337,761.3068236,8.5,5.66948294106899,7.457605,909,FBC + Gluten + SPC,3,91,25,test,154.45005687031065,786.9000232337045,6.410740553778207
3,4,286.0,32.40241891666667,350.99061073333337,22.4230116,79.80791778333334,110.29129353333332,151.74868288333334,756.0547068,9.0,6.160581222056632,7.221452,909,FBC + Gluten + SPC,3,92,26,test,154.45005687031065,786.9000232337045,6.680637800112128
4,5,286.0,31.2464912,351.4110314333333,22.666347416666667,81.4859628,111.96338813333334,146.85761011666668,706.6278468,8.0,5.488290611028316,6.940992250000001,909,FBC + Gluten + SPC,3,93,27,test,157.30591130699008,786.9000232337045,6.8680392613469925
5,6,286.0,31.06892185,351.40303861666666,22.403842066666662,81.1078032,109.06327605,143.2984176,700.4314476000001,7.0,4.816,6.6605325,909,FBC + Gluten + SPC,3,94,28,test,154.91059090970361,837.8075827666188,6.8680392613469925
6,7,286.0,31.478814616666668,351.3470890666667,22.389143633333333,79.97129240000001,107.45253198333332,145.08502308333334,717.2218283999999,7.0,5.546834951456311,6.62744275,909,FBC + Gluten + SPC,3,95,29,test,152.39866561146226,834.0464045406933,7.0269788635358195
7,8,286.0,31.39805495,351.26652185,21.964888116666668,81.21428128333334,108.7295073,144.5772637,713.8777956,7.0,6.2776699029126215,6.594353,909,FBC + Gluten + SPC,3,96,30,test,148.88460223723493,729.1723377059523,7.394173579662111
8,9,286.0,31.034688,351.3825771,21.977994733333333,82.1987966,111.62982246666668,145.21221699999998,698.6326152,7.5,7.46085216543694,6.9233705,909,FBC + Gluten + SPC,3,97,31,test,148.88460223723493,729.1723377059523,6.469417982512044
9,10,286.0,31.32420308333333,351.33877655,21.686939316666667,80.98466268333333,111.89350601666666,144.47059163333333,710.6469252,8.0,8.644034427961259,7.252388,909,FBC + Gluten + SPC,3,98,32,test,148.42073011069468,675.1326408203619,6.338110188046825
10,1,333.0,26.28156218333333,455.4719759833333,18.95178735,77.87261903333334,110.8952463,130.95026801666666,590.6903796,5.5,7.181351232511059,5.631497400000001,903,FBC + PPI + SPC,1,23,23,test,130.95026801666666,590.6903796,5.5
11,2,333.0,26.2975111,455.4719759833333,18.712041566666667,75.98568271666666,110.10968073333332,130.95006481666667,592.7194224,5.0,6.990453460620525,5.3191533,903,FBC + PPI + SPC,1,24,24,test,142.33098330841543,671.3318842658682,6.257990448888041
12,3,333.0,26.276178233333333,455.47325485,19.18713065,79.98307825,109.89129883333334,130.93320051666666,590.8581612,6.0,6.750251855938403,6.16412615,903,FBC + PPI + SPC,1,25,25,test,142.1059269690823,619.6605909982321,6.257990448888041
13,4,333.0,25.92063368333333,455.4716562666667,18.99825325,83.5206284,110.48936065,131.28613206666668,576.9787056000001,7.0,6.510050251256281,7.009099,903,FBC + PPI + SPC,1,26,26,test,142.1059269690823,619.6605909982321,6.544146009722496
14,5,333.0,25.780143016666667,455.47453370000005,18.878024733333334,80.95235346666666,110.50987843333333,130.89947188333332,572.9010900000001,6.5,6.5901998046368,6.8056325,903,FBC + PPI + SPC,1,27,27,test,142.33098330841543,672.9442576233015,6.508180366854702
15,6,333.0,25.74458843333333,455.474214,18.886898016666667,77.03461275,110.2744322,130.32141125,570.0565320000001,6.0,6.670349358017319,6.602166,903,FBC + PPI + SPC,1,28,28,test,142.33098330841543,679.7338833545394,6.460690622592864
16,7,333.0,26.54395421666667,455.4758125833333,18.93058665,76.17242558333334,110.89402756666668,129.90569531666668,601.4131164000001,5.5,6.840303558545745,6.273003750000001,903,FBC + PPI + SPC,1,29,29,test,142.33098330841543,678.1215099971062,6.3898018326743085
17,8,333.0,26.59088618333333,455.4761323,18.972852866666667,79.1824611,110.8950433,130.85030118333333,601.8501348000001,5.0,7.010257759074171,5.9438415,903,FBC + PPI + SPC,1,30,30,test,142.1059269690823,634.4049385785471,6.257990448888041
18,9,333.0,26.23107483333333,455.4722957,18.128713316666666,82.88948166666667,110.05848803333332,130.90109735,589.8904644,6.5,7.806413352078218,6.85111225,903,FBC + PPI + SPC,1,31,31,test,142.1059269690823,619.6605909982321,6.257990448888041
19,10,333.0,26.61028858333333,455.47325485,17.823095783333333,82.98701883333334,109.89007996666666,131.9893541,603.6879960000001,8.0,8.602568945082266,7.758383,903,FBC + PPI + SPC,1,32,32,test,142.33098330841543,654.7492067845207,6.615034799641052
20,1,210.0,32.5818169,365.2251379333333,19.336349483333333,78.98657421666667,111.2265776,149.71337661666666,805.6719948000001,5.5,5.972278433583428,6.01663115,906,FBC + SPI + SPC,2,56,23,test,149.71337661666666,805.6719948000001,5.5
21,2,210.0,32.501768483333336,365.3466285,19.0153224,77.40545681666666,111.54632951666666,148.96077883333334,803.4634524,7.0,6.391876645355397,6.860878,906,FBC + SPI + SPC,2,57,24,test,152.95834685677661,762.6217849991343,5.834493261341214
22,3,210.0,33.0687106,365.3571789333333,18.910706633333334,76.2569577,109.69810708333333,149.75157528333335,827.5389072,6.5,6.678706846514574,6.234980999999999,906,FBC + SPI + SPC,2,58,25,test,153.18340319610977,774.4509805796208,6.338110188046825
23,4,210.0,33.00816653333333,365.24464036666666,18.60366655,78.45377753333334,108.90380653333334,150.26360213333334,823.3091124,6.0,6.965537047673751,5.609084,906,FBC + SPI + SPC,2,59,26,test,151.7807170471823,781.6008778358223,6.290620443784986
24,5,210.0,33.88087718333333,365.3050658833333,17.497395083333334,79.957881,109.64407021666666,151.61234546666665,862.3137084000001,5.5,6.669554820737364,5.7857525,906,FBC + SPI + SPC,2,60,27,test,151.7807170471823,794.7459065176183,6.097612439592701
25,6,210.0,34.19223316666667,365.39042905,16.96270043333333,78.84453566666666,111.3803591,156.61862766666667,874.8782136000001,5.0,6.373572593800978,5.962421,906,FBC + SPI + SPC,2,61,28,test,157.30910131189927,831.83263928666,5.834493261341214
26,7,210.0,33.78325468333333,365.2807678666667,17.53241428333333,78.03558695,111.37710886666667,159.91409185,857.7093264,4.5,6.729089013588717,5.56757,906,FBC + SPI + SPC,2,62,29,test,159.96729944136214,856.7047813537997,5.834493261341214
27,8,210.0,32.472715183333335,365.2219408,18.692872666666663,79.6049187,109.64264838333334,158.9513992833333,801.5241552000001,4.0,7.084605433376455,5.172719,906,FBC + SPI + SPC,2,63,30,test,162.40280475024457,835.1085459355152,5.834493261341214
28,9,210.0,32.22088788333333,365.3418327833333,18.36920398333333,78.22009493333333,107.65120865,155.69982328333333,788.6591892000001,3.0,7.863825627159505,4.5352185,906,FBC + SPI + SPC,2,64,31,test,160.92111038782556,792.6333667005782,5.834493261341214
29,10,210.0,32.17649548333333,365.32296975,17.911759833333335,75.89464813333333,110.90723218333332,151.86978116666666,788.5499280000001,2.0,8.643045820942556,3.897718,906,FBC + SPI + SPC,2,65,32,test,155.64073688951038,782.2478589153706,6.1682166290590255
